tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_y7vbrfvh2x,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717194440000,True,True,r_vshwjsjx3g,13010,Cochran & Co. LLC,http://www.shopcochranandco.com,Clothing Boutique,False
bo_s3np8e6cbv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1717174640000,True,True,r_7ye6q6qmnb,146070,Martin Boot Company,http://martinboot.com,Clothing Boutique,False
bo_qhxqa4bw72,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717039701000,True,True,r_y6c83xbg6k,26704,coastal roots clothing co,https://shopcoastalrootsms.com/,Clothing Boutique,True
bo_mc4zm9grw6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1717011801000,False,False,r_d2qhcgbgfw,159293,Big Dick's Salty Seaman Fun Shop,,Clothing Boutique,False
bo_sdfnfkt3tg,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717009101000,False,False,r_bc8kxshzsn,11525,"Body By Design Fitness, LLC",http://bodybydesignfitnessllc.com/,Clothing Boutique,True
bo_rp9fxrmvqr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716489076000,True,True,r_4hvgxnr0bx,20459,The Southern,http://thesouthernonline.com,Clothing Boutique,False
bo_vjtskqbgen,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716478576000,True,True,r_bc8kxshzsn,12179,"Body By Design Fitness, LLC",http://bodybydesignfitnessllc.com/,Clothing Boutique,True
bo_stwcghe8w6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716313897000,True,True,r_j8ztn2tudq,22129,Terry Family Funeral Home,http://www.terryfamilyfuneralhome.com/,,True
bo_34p5pacnn7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716225353000,False,False,r_dmvka38vu8,28644,Big Dick's Salty Seaman LLC,,Clothing Boutique,False
bo_47hjhy44e5,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715632139000,False,False,r_9immfion,83265,A & A village treasures,http://aavillagetreasures.com/,,False
bo_57jrbzf5vc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715287638000,True,True,r_9lcqz71l38,13823,Condom Knowledge,https://cks-secrets.com/,,True
bo_8zcm84zfax,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715108079000,True,True,r_dtz6nwolt9,40933,The Pretty Pussycat,http://www.prettypussycat.com/,Clothing Boutique,False
bo_3eafs7x3zy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715097279000,False,False,r_62i6i0hp,14830,Bridge Street Exchange,http://www.bridgestreetexchange.com,Clothing Boutique,True
bo_zjzdn95kdp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1714454732000,False,False,r_bjdtz0s3kt,32264,CK's Secrets,http://ckssecrets.mystoreextender.com/,,True
bo_9k899qmr6p,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713908199000,True,True,r_e0s92hjhpx,35856,Good Relations,http://www.goodrelations.com/,Clothing Boutique,True
bo_s6v2rg3we6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713471194000,False,False,r_4767c2lfq5,9880,"The Classic Equestrian, LLC",http://shoptheclassicequestrian.com/,,True
bo_qwfbgpaxrv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713381203000,True,True,r_fnsj9bghpt,16716,Mr. Funs Costume & Curiosity Emporium,http://www.mrfuns.com/,Kids or Toy Store,False
bo_ynq6jhjyep,REPLACE_DAMAGED_OR_MISSING_ITEMS,CANCELED,CANCELED,MARKETPLACE,1713226573000,True,True,r_4ai2to97,0,J Perry Salon,http://www.jperrysalon.com/,,True
bo_uhfcqq44fc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1713221176000,False,False,r_d2qhcgbgfw,17268,Big Dick's Salty Seaman Fun Shop,,Clothing Boutique,False
bo_ztvt4tn54f,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1713012154000,True,True,r_4767c2lfq5,12844,"The Classic Equestrian, LLC",http://shoptheclassicequestrian.com/,,True
bo_45gm8gqpvv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712978554000,False,False,r_pxc711toka,16695,Walt's Market,http://www.waltsmarketnd.com,Home Decor Store,True
bo_v9cnxcdg63,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712714672000,True,True,r_4ai2to97,0,J Perry Salon,http://www.jperrysalon.com/,,True
bo_xydtskxrfv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1712339560000,False,False,r_dmvka38vu8,57318,Big Dick's Salty Seaman LLC,,Clothing Boutique,True
bo_89bx7ryh33,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712262995000,True,True,r_8dn2qctk4u,23742,In Good Company Holdings,http://pspetstore.com/,Gift Store,True
bo_j5bb7c8w2h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712108243000,True,True,r_1l3g9lngja,129846,RKPT WKNDR,http://www.rkptwkndr.com/,Clothing Boutique,True
bo_sh7trmp2xa,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1712099543000,True,True,r_34rdv9pwtu,12172,In Bloom Again,http://www.inbloomagain.com/,Clothing Boutique,False
bo_7saxbk3kd5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1711835296000,False,False,r_njk4avvn5h,34650,simplie STATEd,,Clothing Boutique,True
bo_574zy65tun,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1711481292000,True,True,r_njk4avvn5h,106303,simplie STATEd,,Clothing Boutique,True
bo_ge8tts97v7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1711403485000,True,True,r_64az6tyfly,13835,Karisma Boutique,https://www.shopkarismaboutiqueaberdeen.com/,Clothing Boutique,True
bo_8ncm59z4s7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1711321281000,False,False,r_dmvka38vu8,54587,Big Dick's Salty Seaman LLC,,Clothing Boutique,True
bo_6jbvp6dfuj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1711211481000,True,True,r_f3wpc3c0ex,34466,Miss Behaven,https://www.missbehavengeorgetownky.com/,Gift Store,True
bo_t2974mtnv3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710864605000,True,True,r_bjdtz0s3kt,12842,CK's Secrets,http://ckssecrets.mystoreextender.com/,,True
bo_epxy2jxs5h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710767312000,True,True,r_c2k3go3voo,24565,Frivolous Boutique,http://www.frivolousgal.com/,Clothing Boutique,True
bo_cqta4safmj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710605312000,True,True,r_867qkgx2fr,12179,M & T Country Store,https://maps.google.com/?cid=7329979038450638087,Clothing Boutique,False
bo_ztkhhfh7t4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710362193000,True,True,r_9p84h6buyp,125,The valley mercantile,http://www.thevalleygifts.com,Clothing Boutique,False
bo_py4w9eejsr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1710022327000,False,False,r_d2qhcgbgfw,88723,Big Dick's Salty Seaman Fun Shop,,Clothing Boutique,False
bo_73byuya4pd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1709088922000,True,True,r_9679fmuiyf,35949,CrossRail Apparel,http://crossrailtack.com/,,False
bo_nxja27y8kn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708454859000,False,False,r_2d33b7kr,13837,Not so Shabby Gifts,,Clothing Boutique,True
bo_d8c639szgk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708268606000,True,True,r_d2qhcgbgfw,83261,Big Dick's Salty Seaman Fun Shop,,Clothing Boutique,False
bo_b7daf72czr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708216406000,False,False,r_dmvka38vu8,54991,Big Dick's Salty Seaman LLC,,Clothing Boutique,False
bo_3aw8ceuhkh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708091569000,False,False,r_f3xwm2hqer,14012,Glitz Glam and Rebellion,http://glitzglamandrebellion.com/,Clothing Boutique,False
bo_6eyejcwbaz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708022269000,True,True,r_veh0mwgrco,12186,Modernly Vintage Boutique,https://maps.google.com/?cid=2256717035730319353,Clothing Boutique,False
bo_xk9hgba5xf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707830878000,False,False,r_ejbz7uxtaq,121493,Big Dick's Salty Seaman,"https://maps.google.com/?q=318+Old+San+Carlos+Blvd,+Fort+Myers+Beach,+FL+33931,+USA&ftid=0x88db3bf50be61c79:0x9c27052b64dd6b9",Clothing Boutique,True
