tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_y8jbbq87k8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685647990000,False,False,r_61n3dsxba3,38900
bo_fa5frppfnp,BACKORDER,CANCELED,CANCELED,ELEVATE,1685647990000,False,False,r_61n3dsxba3,0
bo_auhetkentu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685627725000,True,True,r_beai4gzf3s,355275
bo_p4ere7ardk,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1685627725000,True,True,r_beai4gzf3s,0
bo_yvr2ufww7x,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685584525000,True,True,r_852h9yw2ru,21262
bo_p3kh3sm9s8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685566600000,True,True,r_5pnqm93b7n,45075
bo_gpcmn86vdh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685550003000,True,True,r_eomaxr7wh7,78238
bo_k6nbwa23ez,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685490303000,False,False,r_apdan47l55,56000
bo_nd6s8v7b99,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685476600000,True,True,r_b6fq4d3c5r,48950
bo_jqnh7fayp4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685469700000,False,False,r_6aj79drtph,61450
bo_uf8ve5drdj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685462800000,False,False,r_avwg5qqznp,23410
bo_8yae6d5tkn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685389913000,True,True,r_w4652a06,95300
bo_bwjfc5nvbt,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685383613000,False,False,r_254ml9zo8z,68850
bo_78ax92j9s6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685152613000,False,False,r_bq5h6xwjcv,43745
bo_x5nahutmd3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685138513000,False,False,r_64oq6mwmyx,29300
bo_xh52vsgvge,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1684980488000,False,False,r_7e24ckl5r9,94150
bo_cy5rd3sbye,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1684945508000,False,False,r_672splw5a3,43100
