title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
Game Day Clear Transparent Crossbody Bag ,Crossbody Bags:2024-06-28T17:23:18.943783:46,b_vswk7rntc2,Sophia Collection,"{'amount_cents': 3960, 'currency': 'USD'}",46,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Chains Geometric Zipper Bags Crossbody Bags Handbags,Crossbody Bags:2024-06-28T17:23:18.943783:47,b_ajabndfqgz,Chicurb Wholesale,"{'amount_cents': 2599, 'currency': 'USD'}",47,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Small Tribal Peruvian Leather Material Crossbody Purse Bag,Crossbody Bags:2024-06-28T17:23:18.943783:48,b_ei18vd8t67,Pichincha,"{'amount_cents': 1499, 'currency': 'USD'}",48,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Gypsy Crossbody Bag #6,Crossbody Bags:2024-06-28T17:23:18.943783:49,b_46yqo0x0y0,El Paso Saddleblanket,"{'amount_cents': 1900, 'currency': 'USD'}",49,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Cork and Coffee Bean Fusion Unisex Crossbody Bag BAG-2289,Crossbody Bags:2024-06-28T17:23:18.943783:50,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 3000, 'currency': 'USD'}",50,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Cats & Books Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:51,b_8d890loa2i,Clea Ray Canvas Bags & Clothing,"{'amount_cents': 6650, 'currency': 'USD'}",51,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Black - Aztec Lacer cut crossbody cellphone bag,Crossbody Bags:2024-06-28T17:23:18.943783:52,b_25m1090zlh,Shine Mark Accessories,"{'amount_cents': 2500, 'currency': 'USD'}",52,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
.SI-26485 Vegan Leather Woven Atlas Crossbody Bum Bag,Crossbody Bags:2024-06-28T17:23:18.943783:53,b_849n5pbfjm,42POPS,"{'amount_cents': 2625, 'currency': 'USD'}",53,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
LOVEY MIFFY CAT SPARKLE CROSSBODY BAG 2906-23 (12PC),Crossbody Bags:2024-06-28T17:23:18.943783:54,b_79gkn2u3uk,TAPA fashion,"{'amount_cents': 400, 'currency': 'USD'}",54,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Clear See Through Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:55,b_4ahkhhvtpz,Collections by Fame Accessories,"{'amount_cents': 1899, 'currency': 'USD'}",55,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
P24005 Small Woven Crossbody Bag (Magnetic Closure),Crossbody Bags:2024-06-28T17:23:18.943783:56,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 3375, 'currency': 'USD'}",56,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Black - Moon with Stars Lacer cut crossbody cellphone bags,Crossbody Bags:2024-06-28T17:23:18.943783:57,b_25m1090zlh,Shine Mark Accessories,"{'amount_cents': 2500, 'currency': 'USD'}",57,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Tassle Crossbody Leather Camera Bag,Crossbody Bags:2024-06-28T17:23:18.943783:58,b_7nl8d3eda3,Cadenza Italy Ltd,"{'amount_cents': 6957, 'currency': 'USD', 'original_amount_cents': 5500, 'original_currency': 'GBP'}",58,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Khaki Italian Leather Triple Section Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:59,b_6dyd8buw9c,Sarta,"{'amount_cents': 9991, 'currency': 'USD', 'original_amount_cents': 7899, 'original_currency': 'GBP'}",59,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
TC2021-Canvas Strap Multicoloured saddle crossbody bag,Crossbody Bags:2024-06-28T17:23:18.943783:60,b_bptbp63ght,Papaya Fashion Ltd,"{'amount_cents': 3415, 'currency': 'USD', 'original_amount_cents': 2700, 'original_currency': 'GBP'}",60,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Rebeca Crossbody Sling Bag - Caramel,Crossbody Bags:2024-06-28T17:23:18.943783:61,b_vqrfns5bqk,Jory,"{'amount_cents': 3600, 'currency': 'USD'}",61,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Clear Crossbody Stadium Bag,Crossbody Bags:2024-06-28T17:23:18.943783:62,b_926lzrw9gt,Hana,"{'amount_cents': 2200, 'currency': 'USD'}",62,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Cork Women's Double Zip Printed Crossbody Bag BAG-2266,Crossbody Bags:2024-06-28T17:23:18.943783:63,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 2200, 'currency': 'USD'}",63,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Mystery Reversible + Recycled Silk Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:64,b_3h7jqev7h9,Gardenbelle Shop,"{'amount_cents': 2800, 'currency': 'USD'}",64,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Heart Faux Leather Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:65,b_anvdg5erjq,3AM BY H&D ACCESSORIES,"{'amount_cents': 1000, 'currency': 'USD'}",65,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Hand Tooled Clear Crossbody Concert festival Game Day bag,Crossbody Bags:2024-06-28T17:23:18.943783:66,b_sx4kc3rrkp,Boho Ranch Shop,"{'amount_cents': 6000, 'currency': 'USD'}",66,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
""",,.._ PUFF QUILTED CROSSBODY SHOULDER BAG",Crossbody Bags:2024-06-28T17:23:18.943783:67,b_849n5pbfjm,42POPS,"{'amount_cents': 4560, 'currency': 'USD'}",67,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Cork Crossbody Bag for women BAGP-212,Crossbody Bags:2024-06-28T17:23:18.943783:68,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 1900, 'currency': 'USD'}",68,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Leather Crossbody Bag Hamilton GW6806,Crossbody Bags:2024-06-28T17:23:18.943783:69,b_9hbcc3btw9,Greenwood Leather,"{'amount_cents': 6785, 'currency': 'USD'}",69,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Ghost Scream Crossbody Chest Bag ZK482,Crossbody Bags:2024-06-28T17:23:18.943783:70,b_9qqlp5kqt7,UNISHE,"{'amount_cents': 2160, 'currency': 'USD'}",70,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Aqua - Dragonfly Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:71,b_25m1090zlh,Shine Mark Accessories,"{'amount_cents': 2500, 'currency': 'USD'}",71,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Clear Transparent Stadium Approved Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:72,b_vswk7rntc2,Sophia Collection,"{'amount_cents': 1920, 'currency': 'USD'}",72,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
THE CAROLINE CROSSBODY steer longhorn - cowhide purse bag,Crossbody Bags:2024-06-28T17:23:18.943783:73,b_sx4kc3rrkp,Boho Ranch Shop,"{'amount_cents': 9000, 'currency': 'USD'}",73,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
M2467 Monica Half-Moon Shoulder Bag/Crossbody,Crossbody Bags:2024-06-28T17:23:18.943783:74,b_7syx38m5ag,Jen & Co.,"{'amount_cents': 5400, 'currency': 'USD'}",74,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Canvas & Leather Women's Crossbody Bag - Linen/Rose Ebony,Crossbody Bags:2024-06-28T17:23:18.943783:75,b_b2pjelg0sv,Sixtease Bags USA,"{'amount_cents': 3300, 'currency': 'USD'}",75,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Huipil Floral Embroidered Fringe Trim Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:76,b_1e67dn411w,Cap Zone,"{'amount_cents': 798, 'currency': 'USD'}",76,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Crossbody bag 1CNC X558 - LAST CALL,Crossbody Bags:2024-06-28T17:23:18.943783:77,b_4nhammz0ru,Pink Panache Brands,"{'amount_cents': 1400, 'currency': 'USD'}",77,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Crossbody Bag | Olive/Khaki,Crossbody Bags:2024-06-28T17:23:18.943783:78,b_47e85bane6,Keep Nature Wild,"{'amount_cents': 3500, 'currency': 'USD'}",78,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Clermont Silver Vera May Vegan Fashion Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:79,b_bp87zjghc4,VeraMay,"{'amount_cents': 6665, 'currency': 'USD', 'original_amount_cents': 9995, 'original_currency': 'AUD'}",79,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Crossbody Sling Bag with Reversible Strap - FBG1850,Crossbody Bags:2024-06-28T17:23:18.943783:80,b_a48i0fg8,Selini New York,"{'amount_cents': 1621, 'currency': 'USD'}",80,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Boho Printed Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:81,b_7xoc9c24wl,Lakhays Collection Inc.,"{'amount_cents': 2200, 'currency': 'USD'}",81,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Small Tie-dye Crossbody Bag (CODE-639),Crossbody Bags:2024-06-28T17:23:18.943783:82,b_a990dearj1,Kathmandu Imports,"{'amount_cents': 1200, 'currency': 'USD'}",82,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
88603: Crossbody Mini Brick Bag | Corduroy Camel,Crossbody Bags:2024-06-28T17:23:18.943783:83,b_5iterkpv8k,Fydelity,"{'amount_cents': 2000, 'currency': 'USD'}",83,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Small Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:84,b_qarv7atb2t,emily ruth prints,"{'amount_cents': 4000, 'currency': 'USD'}",84,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
IT360 Italian Leather & Raffia Mini Crossbody Bag ,Crossbody Bags:2024-06-28T17:23:18.943783:85,b_f3x4aqdj37,JIJOU CAPRI,"{'amount_cents': 17000, 'currency': 'USD'}",85,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Light Purple Cotton Crossbody Bag with Hand-Woven Flower Acc,Crossbody Bags:2024-06-28T17:23:18.943783:86,b_e8m40ryjgu,Earth Divas,"{'amount_cents': 2399, 'currency': 'USD'}",86,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Bad Romance Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:87,b_qv2prnh2z3,belle & bloom,"{'amount_cents': 15338, 'currency': 'USD', 'original_amount_cents': 23000, 'original_currency': 'AUD'}",87,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Western Floral Buckle Crossbody Pouch Bag,Crossbody Bags:2024-06-28T17:23:18.943783:88,b_khbjn2puz4,Lunar Deer,"{'amount_cents': 3999, 'currency': 'USD'}",88,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Solid Color Trim Clear Round Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:89,b_926lzrw9gt,Hana,"{'amount_cents': 2550, 'currency': 'USD'}",89,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Round Up Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:90,b_5rtqqkhzws,Y by Yaya Handbags,"{'amount_cents': 7998, 'currency': 'USD'}",90,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Faux Leather Plaid Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:91,b_anvdg5erjq,3AM BY H&D ACCESSORIES,"{'amount_cents': 3400, 'currency': 'USD'}",91,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Chains Zebra-Stripe Crossbody Bags,Crossbody Bags:2024-06-28T17:23:18.943783:92,b_dxhtkv5y9m,Easel,"{'amount_cents': 1999, 'currency': 'USD'}",92,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Straw Envelope Clutch Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:93,b_99x4e5i9x3,Anarchy Street,"{'amount_cents': 3199, 'currency': 'USD'}",93,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Shine On Crossbody Phone Bag,Crossbody Bags:2024-06-28T17:23:18.943783:94,b_bnd9vqh91x,Mary Frances Accessories,"{'amount_cents': 9000, 'currency': 'USD'}",94,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Butterfly Kaleidoscope Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:95,b_568f472e,America & Beyond,"{'amount_cents': 7500, 'currency': 'USD'}",95,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Punky Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:96,b_32rsz10vd0,Rainbow Unicorn Birthday Surprise,"{'amount_cents': 2400, 'currency': 'USD'}",96,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Cecile Leather & Raffia Studded Crossbody Bag JIJOU CAPRI,Crossbody Bags:2024-06-28T17:23:18.943783:97,b_f3x4aqdj37,JIJOU CAPRI,"{'amount_cents': 21000, 'currency': 'USD'}",97,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
P22174 Small Tote Crossbody Bag w/Cosmetic Pouch,Crossbody Bags:2024-06-28T17:23:18.943783:98,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 4950, 'currency': 'USD'}",98,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Shelly Sling Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:99,b_cyctwk1rys,K. Carroll Accessories,"{'amount_cents': 3900, 'currency': 'USD'}",99,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Clear Teal Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:100,b_b9h6n2q73p,Daytrip: Festival & Stadium Bags,"{'amount_cents': 4900, 'currency': 'USD'}",100,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Tiger & Floral Quilted Reversible Cotton Eco Tote Bag,Tote Bag:2024-06-28T17:23:18.943783:1,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 3599, 'currency': 'USD'}",1,2024-06-28,2024-06-28T17:23:18.943783,Tote Bag
1012 - Wholesale Canvas Tote Bag,Tote Bag:2024-06-28T17:23:18.943783:2,b_a1274wsui3,AR New York,"{'amount_cents': 4199, 'currency': 'USD'}",2,2024-06-28,2024-06-28T17:23:18.943783,Tote Bag
Handmade Cotton Quilted Floral Tote & Market Bag,Tote Bag:2024-06-28T17:23:18.943783:3,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 3599, 'currency': 'USD'}",3,2024-06-28,2024-06-28T17:23:18.943783,Tote Bag
Handmade Cotton Velvet Quilted Hippie Market Tote Bag,Tote Bag:2024-06-28T17:23:18.943783:4,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 4699, 'currency': 'USD'}",4,2024-06-28,2024-06-28T17:23:18.943783,Tote Bag
Handmade White Velvet Hippie Quilted Market Tote Bag,Tote Bag:2024-06-28T17:23:18.943783:5,b_f8f3cs4bc2,Bhawana Handicrafts,"{'amount_cents': 4699, 'currency': 'USD'}",5,2024-06-28,2024-06-28T17:23:18.943783,Tote Bag
