tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_c2du4p9p6z,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1688390933000,True,True,r_aeldo712nm,3300,Colquitt Pharmacy,http://229gifts.com/,
bo_kspwvfzsxd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687379924000,True,True,r_aeldo712nm,13950,Colquitt Pharmacy,http://229gifts.com/,
bo_2p9vhqg5py,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1687369724000,False,False,r_umfedgxe3k,19800,Salons Of Volterra Fort Worth at Montserrat,http://www.salonsofvolterra.com/,Spa or Beauty Store
bo_xffbtmexcs,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1686078024000,True,True,r_umfedgxe3k,29490,Salons Of Volterra Fort Worth at Montserrat,http://www.salonsofvolterra.com/,Spa or Beauty Store
bo_d54hnfw9z4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685983583000,True,True,r_7o99n60oez,10912,Charlotte West,http://www.charlottewestbaby.com/,Kids or Toy Store
bo_m4ykx7rfpq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685822622000,True,True,r_3aqhqlablt,27675,Once Upon An Island,http://www.onceuponanisland.net/,
bo_hp5f7hqxyu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685772222000,True,True,r_y27srmaf5y,8962,Isfrom,http://isfrom.us,General or Mercantile Store
bo_bpz86xtexy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685191613000,True,True,r_eesl9fdtpg,21218,Coast Hippie,http://www.coasthippie.com/,
bo_p57xtxjy8h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685119732000,False,False,r_gbyz4ry6ct,21250,Dolly And Me LLC,https://www.dollyandmellc.com,Kids or Toy Store
bo_6cz4br2e5n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1683212565000,True,True,r_8yfbfaysam,15750,Sugar Rush Candy and Gift Boutique,https://www.sugarrushnj.com/,Kids or Toy Store
bo_nfam6f3248,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682731175000,True,True,r_do8bim76h1,16875,Vintage chic furniture,http://We.vintagechicfurniture.com,Furniture Store
bo_xa4ehbm4ew,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1682182590000,True,True,r_gbyz4ry6ct,67500,Dolly And Me LLC,https://www.dollyandmellc.com,Kids or Toy Store
