tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_nm7ks5kp4a,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661164501000,False,False,r_bsoxbji8,22934
bo_28crm3b9rq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661119800000,False,False,r_bsoxbji8,26543
bo_cpsv6x8tn5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661119500000,True,True,r_4vhpl4dvdd,95419
bo_k4rb4zmdxn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661111701000,False,False,r_4n6cjc5nlg,53843
bo_sfgpepr46v,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661105400000,True,True,r_4wt9vl3kwd,93434
bo_dtmnjb4cdp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661081701000,True,True,r_3nnf5ni3lh,60899
bo_csm4rk5jd4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661024401000,True,True,r_3vx0kno4sk,82196
bo_spjdwtvhk8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660949700000,False,False,r_9vxgbul1v9,510121
bo_958rzj725x,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660938001000,False,False,r_26qjkkfl,67646
bo_zvabgcxgq6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660931401000,True,True,r_2ume3ihncp,73665
bo_x722v77cmq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660926000000,False,False,r_4rzk2e1g,58131
bo_vgxabtsjue,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1660926000000,False,False,r_4rzk2e1g,8575
bo_wc66mmhuhv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660863300000,False,False,r_2enjypkfb7,94054
bo_9y4rckzdpr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660857001000,True,True,r_bs5h2x38da,57678
bo_4mav9bayuy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660855501000,False,False,r_5sjhs1gt,105638
bo_x2mkp7uzz8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660855501000,False,False,r_e10v9n9ada,59981
bo_ms5uugbnu6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660851001000,False,False,r_99uuem6q,54053
bo_cgt5swrg2g,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660850401000,True,True,r_50hprb9v,81317
bo_3hm3n7u7a6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660772101000,False,False,r_bgp3yqxpc8,31650
bo_a8ayen43zw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660736401000,False,False,r_64u15doh,35280
bo_yd3n2352dk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660694701000,False,False,r_4g90xog5,37234
bo_92ra6vy3jn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660666500000,False,False,r_extyf8b6w6,84468
bo_x6mqgryzw7,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1660666500000,False,False,r_extyf8b6w6,15503
bo_ehc6r3bfsz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660604400000,False,False,r_9fmwwts0oy,31424
bo_s7mnxcz2wm,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660602901000,False,False,r_2enjypkfb7,93065
bo_t9gha23cvu,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660493401000,False,False,r_90gxgui12o,166375
bo_3r4rcx3nm2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660489800000,False,False,r_9hlbvhma,38437
bo_kbqxwrhutp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660479301000,False,False,r_7q8f4hdo,157939
