tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_6uhpw6dvyq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696366631000,False,False,r_88pxjjl92f,22243,buka,https://maps.google.com/?cid=874540996778399176,Clothing Boutique,False
bo_xbnd5ecvdu,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696365431000,False,False,r_9nh2v3ahs4,23108,Silver Legends,http://Silverlegendsbagsandjewelry.com,Gift Store,False
bo_mmsebv3qze,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696362580000,False,False,r_wfa74cw9qp,138151,True West Hats,http://www.truewesthats.com/,Clothing Boutique,False
bo_3rt7bt49zf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696351780000,False,False,r_4491978c,60489,Horseshoe,http://www.shophorseshoe.com/,,False
bo_krukz789fm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696345780000,False,False,r_2o4ogiupwj,19899,Madison Peppermint Boutique,http://facebook.com/madisonpeppermint,Clothing Boutique,True
bo_yex2ssjdws,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696345480000,False,False,r_dqxc46m9,93521,Props Antiques,,Home Decor Store,True
bo_mj7vkhhpte,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1696315180000,False,False,r_ed0gx8s5,0,Strada,http://strada-shoes.com/,Clothing Boutique,True
bo_6jwx2waqph,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696278280000,False,False,r_58343691,78538,Hands Gallery,http://handsgallery.com/,,False
bo_xaz7gjwv8q,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696276480000,False,False,r_e1epo1ci,105420,Christine's/Christine's Crosssing,,,False
bo_r8wn825f6h,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696271380000,False,False,r_7na7aiee,43497,Blue Door Boutique,http://www.bluedoororegon.com,Clothing Boutique,True
