tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_f6zbyecr8j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716063953000,False,False,r_uwm3dnm7uq,13852,Lee's Rite-Way Market,https://www.leesritewaymarket.net/,,True
bo_vvgp5uu693,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715958290000,False,False,r_bzi68b1i,20529,Beauty Organix,http://www.beautyorganix.com,,True
bo_72wvtra7eu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715938288000,False,False,r_2cga4j44if,8967,MANEPRINT formerly North Authentic,http://www.shopnorthauthentic.com/,,False
bo_m3x8kqvb4r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715916088000,True,True,r_ffy2hkcfqx,8332,Humbug Mountain Creations,http://www.humbugmountaincreations.com/,,True
bo_cwzxnv3a4g,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715909188000,False,False,r_nj6qhh26bx,85943,shopgrandcentral,http://shopgrandcentral.store/,General or Mercantile Store,True
bo_f2exbr8226,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715814926000,False,False,r_t7jerzjgue,8876,Brass Velvet Trading Co.,http://www.brassvelvettrading.com,Clothing Boutique,True
bo_c6ff4aqwed,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1715805432000,True,True,r_14q1v0ef90,2580,Sass Resale Boutique,https://www.shopsassresale.com/,Clothing Boutique,True
bo_9dws72ju4c,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715791280000,False,False,r_934yxcrr7q,15980,Smile Sciences,https://smilesciences.com/,,False
bo_n3jhvxhy8w,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715751506000,False,False,r_682f1739,24823,C'e La Luna Salon,https://maps.google.com/?cid=11127449043281244217,,False
bo_s7bgwy8ajp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715700239000,False,False,r_7cg5x0wl,10221,Nash and Company,https://maps.google.com/?cid=5682604882599811978,Clothing Boutique,False
bo_cgbut44wuw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715657339000,False,False,r_9spcsaop,19946,Salon S,https://maps.google.com/?cid=10687176917817095189,Spa or Beauty Store,False
bo_j5xngephwp,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1715624562000,False,False,r_346fvycs4n,1982,R&E International Trading LLC,https://www.facebook.com/ecshopping222,General or Mercantile Store,True
bo_5waghbjbz2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715568485000,False,False,r_zywc7a9j9c,13665,Salon Paradiso,https://maps.google.com/?cid=7716634496709201826,Spa or Beauty Store,True
bo_h9q44uvxbv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715519885000,True,True,r_azjlutim7p,9221,Yellow Dog Marketplace,http://Yellowdogmarketplace.net,Gift Store,False
bo_s98kqq9cmy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715506085000,False,False,r_ej9qsma7th,49708,Beauty Kiss Inc.,http://beautykissus.com/,,False
bo_jqbeyq7q26,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715442485000,False,False,r_nj6qhh26bx,77144,shopgrandcentral,http://shopgrandcentral.store/,General or Mercantile Store,True
bo_4brfc9uu6j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1715409185000,False,False,r_9e5h7sbqe9,26532,One Degree Healthy,http://onedegreehealthy.com/,,True
bo_56vmb8a85x,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1715354838000,False,False,r_6crn6sbx5n,14544,Diamond D,,Spa or Beauty Store,False
