tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_qw9fjt47ux,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686419372000,False,False,r_b54tcdvg4w,31428
bo_5rnn29fste,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1686243675000,False,False,r_cm940srq,8390
bo_9n3bt2wajk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686231943000,True,True,r_7r8jbesn5l,39830
bo_txdysk538n,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1686171943000,True,True,r_666lu2l3,145152
bo_bp24sz3xej,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686170443000,True,True,r_hrrqwyrg,30015
bo_k2znjnk6m9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1686167443000,True,True,r_2f7yoej8,84008
bo_ux3wp72krn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686161724000,True,True,r_mnssbrnzsw,114057
bo_pyt6wtyrrt,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1686094224000,False,False,r_cdxdnr1v,103488
bo_r63vz679j2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1686076824000,False,False,r_ecki7omyhl,162725
bo_36fmtgb63n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686070824000,True,True,r_36zbk1rdih,52200
bo_pes2g685sn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685988083000,True,True,r_9l15ukmf6s,34205
bo_4mhsup2vfk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685918322000,False,False,r_38ixhpypr4,177277
bo_urqmffc3d7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685810022000,False,False,r_bntrd36o,46502
bo_mpsw9c6y7y,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1685767722000,True,True,r_kwya5tqwba,0
bo_kh3t3wvdy8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685672890000,False,False,r_aeimjdlu,37800
bo_xk2n92zksc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685656090000,False,False,r_7l47642s,54542
bo_7a325t3jpk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685645890000,False,False,r_48c3kjccqy,42677
bo_x5ea823hyr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685632825000,False,False,r_6b3r4ph5a5,30264
bo_d5prt5v4e6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685619625000,False,False,r_gt7j4o10yz,156576
bo_sde5psbzya,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685572225000,False,False,r_9fabh4jr,40999
bo_58vzzmzyd8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685545503000,False,False,r_9o9vav1aav,48384
bo_j5vr4qwxh2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685499303000,False,False,r_ey9ezokd,62420
bo_vvaze2qgc4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685482803000,False,False,r_b353qslbmb,187008
bo_jctrykrgb7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685476000000,True,True,r_nk7g6kryhk,40559
bo_79a55r59e5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685469401000,False,False,r_hrwzbptunu,32301
bo_c6tyjfezu8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685466400000,False,False,r_ezt47vebwx,80136
bo_rdza7rkqwj,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1685387213000,False,False,r_ke6zcv932s,121600
bo_fyqhr996ay,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685327213000,False,False,r_dq8kyctr23,50255
bo_wmxvvq2mab,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1685326913000,True,True,r_ay7s7jezvk,27666
