tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_ruu4tb96se,⭐Hot Savings for 4 Days ONLY! ⭐ ,ONE_TIME,COMPLETED,1626364800000.0,1573.0,1377.0,220.0,21.0,6.0,2635.0,2.0,1701.0
bmc_md9mqbp3n7,📢📢📢 Are You Ready For SUMMER SALE? 4 Days ONLY📢📢📢 ,ONE_TIME,COMPLETED,1625760000000.0,1563.0,1267.0,237.0,5.0,6.0,1951.0,0.0,0.0
bmc_g67gu8j26n,Restock Alert,ONE_TIME,COMPLETED,1624550400000.0,1554.0,1322.0,323.0,18.0,4.0,704.0,1.0,284.0
bmc_qtx96u7ztm,[TEST] Black Friday Giftable Goodies ,ONE_TIME,DRAFT,,,,,,,,,
bmc_dd4rhnk73a,Invite your International Retailers - 200 €/£ Off Promo,ONE_TIME,DRAFT,,,,,,,,,
bmc_5d2z3ydq26,Spring Reengagement ,ONE_TIME,DRAFT,,,,,,,,,
bmc_an49ablb96,Faire Winter Market - Feb 1 (7:05 pm) (Copy 1),ONE_TIME,COMPLETED,1612360800000.0,1488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmc_ebhbjnlsen,Faire Winter Market - Feb 1 (7:05 pm),ONE_TIME,COMPLETED,1612274400000.0,1488.0,828.0,163.0,40.0,5.0,1658.0,2.0,438.0
bmc_9km2ui1jrl,Re 2021,ONE_TIME,COMPLETED,1609952421000.0,911.0,814.0,98.0,15.0,0.0,0.0,0.0,0.0
bmc_7w5n97b24q,Five Star Favorites,ONE_TIME,COMPLETED,1605189600000.0,1443.0,1336.0,220.0,13.0,1.0,748.0,0.0,0.0
bmc_epq9yzrmoy,Dropship Program,ONE_TIME,COMPLETED,1586809350000.0,1102.0,1102.0,214.0,21.0,4.0,276.0,0.0,0.0
bmc_6lhzz30gh7,COVID-19 Relief Resources for Local Retailers,ONE_TIME,DRAFT,,,,,,,,,
bmc_7ao3c53dks,Marble Restock!,ONE_TIME,COMPLETED,1584026100000.0,1074.0,1074.0,216.0,14.0,2.0,198.0,0.0,0.0
bmc_4dcg6cadmj,Every place needs a hint of green.,ONE_TIME,COMPLETED,1582820100000.0,1045.0,1045.0,160.0,10.0,1.0,185.0,0.0,0.0
bmc_7mlar5mhsw,"Here's to a better site, plus free shipping on us!",ONE_TIME,COMPLETED,1582161853000.0,871.0,871.0,182.0,15.0,3.0,272.0,0.0,0.0
