tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_m55ycwhjnj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655927700000,False,False,r_6icqf6cu,18800
bo_28cznup55t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655925300000,True,True,r_1653gb3lec,30200
bo_57s5fbeeng,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1655895901000,False,False,r_es1krd7i5g,26500
bo_sqxf4agrqp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655840701000,False,False,r_20tjx308x8,24080
bo_qs85g2jvqu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655819700000,False,False,r_dn879w4p77,23870
bo_6zsu7adg8u,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1655775000000,False,False,r_2wfdlbbi,30500
bo_4nbbgpqfkh,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1655649900000,False,False,r_dn879w4p77,0
bo_xmqh4t2b8e,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655583901000,False,False,r_6dkzyyf9l5,21770
bo_xfgvkt9rya,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1655570401000,False,False,r_2esqo45534,65550
bo_m2z637t7uv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655504701000,True,True,r_v57k7pf66h,25900
bo_9qr44xx3mw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655482800000,True,True,r_qzpbt56cka,39150
bo_x556gzd3bf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655410800000,True,True,r_nma4ze6gdg,26325
bo_satys6d87b,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1655403000000,False,False,r_1nu6hjyzai,31200
bo_hcqnq3bc3r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655400301000,False,False,r_7xm8w94ujo,52290
bo_rtak3vrpe8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1655382000000,False,False,r_6kskscz7,63500
bo_q8vdtwj9md,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655348100000,False,False,r_1fl79vdjwu,15600
bo_qrt6uwwpcp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655313601000,False,False,r_5shbhfbbp9,35625
bo_afkkf8pgj6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655312401000,True,True,r_4ezqbgwgl1,25200
bo_vjxhbph5q6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655283301000,False,False,r_2r3mp4ga2e,52300
bo_8mn46kfhcw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655244600000,False,False,r_bdbishxdf8,26980
bo_sagzzvxq67,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655225401000,True,True,r_6o6r279wti,24500
bo_rwe5mhfyz6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655225401000,True,True,r_5sjsrdtfog,21850
bo_y2ubeu5u82,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655160000000,False,False,r_5a3kqmwm,30480
bo_4p4qt75a8u,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655146200000,True,True,r_886vsnvj,68450
bo_t7yrt2hh5z,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655039701000,False,False,r_psnyj7exgi,26930
bo_h7jjmwatsd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654904700000,True,True,r_d53cp5urus,18600
bo_ethx9d4su5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654812900000,True,True,r_yvkqbd4yss,44800
bo_7jdn73jrdt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654797000000,False,False,r_5shbhfbbp9,22200
bo_x55e8punt2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1654637101000,False,False,r_es1krd7i5g,15200
bo_rhueaduuma,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1654614001000,False,False,r_15ukle6d73,42800
bo_gmh8c3jzr8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654562701000,False,False,r_bdbishxdf8,44840
bo_ru79fpf6s3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654543201000,False,False,r_cc40bdzcez,15250
bo_g4xnymvkup,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654542601000,False,False,r_3ls4h5wljx,52190
bo_xct2n76e38,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654541701000,True,True,r_1by5ilrt2g,22550
bo_pxqw7m2wf6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654297500000,True,True,r_7p8ea4txxr,19250
bo_ph8utdznz9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654277401000,False,False,r_9qumd0ybuh,14750
bo_7ts27jgk4y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1654200301000,False,False,r_dwqkh6hf,45710
bo_46vqy498hj,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1654179601000,True,True,r_2akgye97,20700
bo_veqbs32ncu,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1654136701000,True,True,r_q9w8wwvu2e,173000
